tokenizer,domain,trial,length_bucket,chars,latency_ms,tokens,bytes
sentencepiece,technical,2,1025-4096,1353,0.5142000009072945,676,1353
sentencepiece,technical,2,1025-4096,1455,0.562699991860427,804,1455
sentencepiece,technical,2,1025-4096,1647,0.5982000002404675,837,1647
sentencepiece,technical,2,1025-4096,1411,0.526099989656359,734,1414
sentencepiece,technical,2,1025-4096,1337,0.5075999943073839,745,1337
sentencepiece,technical,2,1025-4096,1734,0.6639999919570982,945,1734
sentencepiece,technical,3,1025-4096,1755,0.717700007953681,921,1755
sentencepiece,technical,3,1025-4096,1939,0.7522000087192282,1051,1939
sentencepiece,technical,3,1025-4096,1353,0.512500002514571,676,1353
sentencepiece,technical,3,1025-4096,1455,0.902600004337728,804,1455
sentencepiece,technical,3,1025-4096,1647,0.6835000094724819,837,1647
sentencepiece,technical,3,1025-4096,1411,0.5390000005718321,734,1414
sentencepiece,technical,3,1025-4096,1337,0.5216999998083338,745,1337
sentencepiece,technical,3,1025-4096,1734,0.676499999826774,945,1734
sentencepiece,technical,4,1025-4096,1755,0.694399990607053,921,1755
sentencepiece,technical,4,1025-4096,1939,0.750000006519258,1051,1939
sentencepiece,technical,4,1025-4096,1353,0.5048000020906329,676,1353
sentencepiece,technical,4,1025-4096,1455,0.5604000034509227,804,1455
sentencepiece,technical,4,1025-4096,1647,0.5900999967707321,837,1647
sentencepiece,technical,4,1025-4096,1411,0.5203000036999583,734,1414
sentencepiece,technical,4,1025-4096,1337,1.2644000089494511,745,1337
sentencepiece,technical,4,1025-4096,1734,0.8188999927369878,945,1734
sentencepiece,technical,5,1025-4096,1755,0.7270999922184274,921,1755
sentencepiece,technical,5,1025-4096,1939,0.7584999984828755,1051,1939
sentencepiece,technical,5,1025-4096,1353,0.5141000001458451,676,1353
sentencepiece,technical,5,1025-4096,1455,0.5696000007446855,804,1455
sentencepiece,technical,5,1025-4096,1647,0.5999999993946403,837,1647
sentencepiece,technical,5,1025-4096,1411,0.5271000118227676,734,1414
sentencepiece,technical,5,1025-4096,1337,0.5174999969312921,745,1337
sentencepiece,technical,5,1025-4096,1734,0.6690999871352687,945,1734
sentencepiece,web,1,65-256,111,0.06249999569263309,74,113
sentencepiece,web,1,65-256,100,0.05919999966863543,68,100
sentencepiece,web,1,65-256,88,0.05339999916031957,63,88
sentencepiece,web,1,65-256,169,0.08959999831859022,114,169
sentencepiece,web,1,65-256,146,0.07570000889245421,94,146
sentencepiece,web,1,65-256,112,0.060399994254112244,75,112
sentencepiece,web,1,65-256,124,0.06489999941550195,80,124
sentencepiece,web,1,65-256,109,0.058999998145736754,70,109
sentencepiece,web,2,65-256,111,0.12319999223109335,74,113
sentencepiece,web,2,65-256,100,0.06669999856967479,68,100
sentencepiece,web,2,65-256,88,0.0740000104997307,63,88
sentencepiece,web,2,65-256,169,0.09460000728722662,114,169
sentencepiece,web,2,65-256,146,0.12989999959245324,94,146
sentencepiece,web,2,65-256,112,0.07659998664166778,75,112
sentencepiece,web,2,65-256,124,0.07100000220816582,80,124
sentencepiece,web,2,65-256,109,0.060399994254112244,70,109
sentencepiece,web,3,65-256,111,0.07900000491645187,74,113
sentencepiece,web,3,65-256,100,0.05709999823011458,68,100
sentencepiece,web,3,65-256,88,0.04990000161342323,63,88
sentencepiece,web,3,65-256,169,0.08189999789465219,114,169
sentencepiece,web,3,65-256,146,0.07259999983943999,94,146
sentencepiece,web,3,65-256,112,0.059399986639618874,75,112
sentencepiece,web,3,65-256,124,0.06029999349266291,80,124
sentencepiece,web,3,65-256,109,0.051399998483248055,70,109
sentencepiece,web,4,65-256,111,0.0746000005165115,74,113
sentencepiece,web,4,65-256,100,0.0518000015290454,68,100
